"UTM Content","Площадка","Визиты","Посетители","Отказы","Время на сайте","Роботность","Достижения цели (Автоцель: заполнил контактные данные)","Достижения цели (click_download)","Достижения цели (click_download_header)"
"K3_no-activation","com.uc.sprunki.transform","1","1","0.0","00:01:21","0.0","0","0","0"
"K3_no-activation","com.vesna.solitaire.klondike","1","1","0.0","00:02:01","0.0","0","0","0"
"K3_no-activation","com.vitastudio.mahjong","27","26","0.48148148148148145","00:01:08","0.0","0","0","0"
"K3_no-activation","com.words.puzzle.word.search","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","com.xgfs.busyw.mi","2","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","com.xgfs.happytc.mi","1","1","0.0","00:00:31","0.0","0","0","0"
"K3_no-activation","com.yg.sf.minigames","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","com.yzik.english","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","com.zk.magicalpets.mi","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","dsp-betweenx.yandex.ru","34","33","0.5882352941176471","00:02:09","0.0","0","0","0"
"K3_no-activation","dsp-inneractive.yandex.ru","4","3","0.25","00:00:17","0.0","0","0","0"
"K3_no-activation","dsp-ironsource.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","dsp-minimob-ww.yandex.ru","2","2","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","dsp-mintagral.yandex.ru","24","21","0.625","00:00:31","0.0","0","0","0"
"K3_no-activation","dsp-opera-exchange.yandex.ru","161","118","0.4720496894409938","00:00:47","0.0","0","0","0"
"K3_no-activation","dsp-unityads.yandex.ru","45","39","0.6222222222222222","00:01:00","0.0","0","0","0"
"K3_no-activation","dsp-webeye.yandex.ru","2","2","0.5","00:00:00","0.0","0","0","0"
"K3_no-activation","dsp-xiaomi.yandex.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","dsp-yeahmobi.yandex.ru","54","47","0.5370370370370371","00:01:02","0.0","0","0","0"
"K3_no-activation","dsp.yandex.ru","354","314","0.4915254237288136","00:01:18","0.0","0","0","2"
"K3_no-activation","dzen.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","jigsolitaire.jigsort.jigsaw.solitaire.puzzle","1","1","0.0","00:01:09","0.0","0","0","0"
"K3_no-activation","kidultlovin.word.zen","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","kniga-online.com","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","m.edadeal.ru","1","1","0.0","00:00:19","0.0","0","0","0"
"K3_no-activation","m.mail.yandex.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","m.pogoda.yandex.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","puzzle.blockpuzzle.cube.relax","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","rb.rbook.club","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","ru.SOFFGames.gco","2","2","0.5","00:00:08","0.0","0","0","0"
"K3_no-activation","ru.yandex.weatherplugin","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","ru.zen.android","2","2","0.0","00:00:17","0.0","0","0","0"
"K3_no-activation","sorting.games.goods.sort.triple.match3d.puzzle.stuff","5","5","0.4","00:00:59","0.0","0","0","0"
"K3_no-activation","teskin.jewels.planet","6","6","0.33333333333333326","00:01:16","0.0","0","0","0"
"K3_no-activation","video.like","4","4","0.75","00:00:04","0.0","0","0","0"
"K4_seller-check","Не определено","2","2","0.5","00:00:08","0.0","0","0","0"
"K4_seller-check","com.tripledot.woodoku","1","1","0.0","00:00:15","0.0","0","0","0"
"K4_seller-check","dsp-opera-exchange.yandex.ru","2","2","0.5","00:00:07","0.0","0","0","0"
"K4_seller-check","dsp-yeahmobi.yandex.ru","1","1","0.0","00:00:14","0.0","0","0","0"
"K4_seller-check","dsp.yandex.ru","3","3","0.6666666666666665","00:00:05","0.0","0","0","0"
"K5_welcome-bonus","com.abi.cook.chill","2","2","0.5","00:00:06","0.0","0","0","0"
"K5_welcome-bonus","com.block.juggle","6","4","0.5","00:02:43","0.0","0","0","0"
"K5_welcome-bonus","com.blockpuzzle.us.ios","2","2","0.5","00:00:13","0.0","0","0","0"
"K5_welcome-bonus","com.cedargames.tileclear","1","1","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","com.craftsman.go","1","1","0.0","00:01:18","0.0","0","0","0"
